#{"t_start": 1768743802.943739, "env_id": "BipedalWalker-v3"}
r,l,t
-120.458708,1600,2.285143
-177.945564,931,8.339262
-123.110409,1600,15.205002
-115.717948,1600,17.476522
-106.619383,49,17.546432
-122.391129,84,17.664522
-107.34904,53,17.741513
-128.529514,1600,24.798529
-100.272044,1600,31.719262
-110.751086,85,31.841617
-98.770295,71,31.948736
-94.64636,1600,39.252471
-99.53408,1600,46.564665
-90.881156,1600,48.905937
-80.800097,1600,55.835598
-88.997843,1600,63.019845
-73.198774,1600,70.234348
-70.99826,1600,72.493457
-68.57799,1600,79.66502
-66.646625,1600,86.536521
-56.068021,1600,93.558695
-53.423943,1600,100.691714
-40.469989,1600,102.910951
-40.42144,1600,110.005838
-26.45126,1600,116.735847
-118.860215,80,116.854251
-108.576044,201,117.139712
-23.139332,1600,124.207575
-23.704941,1600,131.27104
-5.302056,1600,133.444873
36.681648,1600,140.472701
32.108246,1600,147.549144
20.009651,1600,154.509377
-108.831368,38,154.562261
51.278288,1600,161.663287
59.183485,1600,163.825442
69.597141,1600,170.692466
-11.738399,1413,177.380481
-126.429263,109,177.531347
103.183079,1600,184.629244
-113.975619,42,184.688933
-84.026859,298,185.091005
87.318722,1600,192.160919
-92.498148,248,192.496689
78.90603,1600,199.492839
84.929198,1600,201.634436
116.730936,1600,208.664041
115.375531,1600,215.722083
97.45378,1600,222.808388
-42.299724,761,223.845066
-67.745144,450,224.439582
116.019048,1600,231.428675
119.764413,1600,238.410168
136.241497,1600,245.292253
161.625188,1600,247.430624
162.086228,1600,254.205309
161.568223,1600,261.032872
24.040567,1301,267.444713
187.903591,1600,269.580543
196.820853,1600,276.403658
-81.714232,253,276.751945
-59.557315,521,282.177659
203.617428,1600,284.355291
211.324625,1600,291.544981
236.172536,1600,298.539515
217.774148,1600,305.336726
173.246185,1600,307.496111
-107.061217,56,307.573411
209.391368,1600,314.374062
191.61791,1600,321.18665
80.371696,1543,327.942113
205.610076,1600,334.859748
204.36412,1600,337.044948
-115.788672,59,337.130272
-118.954347,81,337.244138
-50.046704,418,342.630883
184.154992,1600,344.790169
-127.940008,101,344.927775
-83.90152,373,350.085195
-80.609015,286,350.481038
24.587584,927,351.73752
209.776366,1600,358.569318
87.638674,1559,365.527006
185.703654,1600,372.605845
203.365797,1600,374.764661
-27.740648,681,380.403946
217.097107,1600,382.563453
234.117603,1600,389.614071
218.893999,1600,396.682446
251.463805,1498,403.563696
243.05069,1582,405.679795
224.357635,1600,412.458414
247.174042,1511,419.103723
231.985735,1600,425.950098
-65.164281,338,426.405615
244.863219,1555,433.151226
96.579711,1347,434.949689
247.176603,1534,441.885616
248.588683,1500,448.600186
243.314217,1541,455.304481
-115.425546,62,455.388134
244.822487,1542,457.481962
-115.006448,67,457.573969
-57.356641,464,462.89885
-59.961471,315,463.3285
-116.389916,69,463.43246
251.912645,1459,470.171663
-19.097641,559,470.9326
246.964547,1494,477.937262
-107.608851,75,478.038739
254.700008,1417,479.957332
250.657222,1461,486.641771
251.388835,1447,493.307999
136.11069,1359,495.158266
245.872629,1520,501.868051
-15.897057,553,502.606917
248.809571,1500,509.494303
245.962687,1513,516.195644
242.689623,1555,522.847261
-125.941282,110,522.996598
255.503261,1403,524.904049
249.896845,1453,531.452758
245.853347,1509,538.101404
254.094407,1413,539.982653
-116.389522,61,544.699012
89.66822,1264,546.369118
6.57489,748,547.369235
260.474443,1328,553.697593
255.816881,1395,560.299967
124.688008,1199,561.90111
253.513684,1409,568.778698
25.224587,691,569.71792
265.435461,1256,576.371322
253.009233,1377,583.203259
256.677705,1344,585.013682
-106.652786,97,585.146008
259.39622,1312,591.709584
262.344651,1319,598.476079
252.082923,1405,600.332404
261.735273,1294,607.020428
20.757275,725,608.008336
268.811097,1204,614.241588
18.009024,624,615.086141
-112.217021,54,615.16342
265.293666,1280,621.811501
260.529111,1291,628.489259
82.536353,974,629.811375
256.090448,1371,636.278435
261.653591,1296,638.037419
257.637286,1367,644.516856
257.574404,1357,651.054572
264.335963,1263,652.765068
-23.960178,446,653.35855
-113.384998,44,658.028602
270.962888,1169,659.643824
257.338222,1357,666.26616
261.98524,1280,667.958128
260.160607,1297,674.589985
265.297193,1223,681.100822
266.218245,1245,682.792641
268.633274,1207,688.992112
268.198066,1195,690.602824
