#{"t_start": 1768744498.457636, "env_id": "BipedalWalker-v3"}
r,l,t
-111.202373,55,0.225866
-106.978684,47,0.469738
-105.815783,111,1.063606
-117.279483,73,1.461794
-72.535653,1600,10.081407
-104.44589,124,10.735061
-96.150667,1600,19.485075
-90.585966,1600,28.198268
-87.732285,1600,36.894047
-88.540635,1600,45.612915
-92.849589,1600,54.260102
-89.080222,1600,62.938565
-128.238707,105,63.510581
-139.744534,188,64.523285
-124.928307,77,64.958674
-63.368592,1600,73.632399
-61.221857,1600,82.333792
-80.446578,1600,90.929309
-87.009458,1600,99.605975
-70.861787,1600,108.291752
-53.933116,1600,116.815862
-103.358772,1600,125.305631
-59.831246,1600,133.925894
-109.12019,1600,142.716923
-50.669731,1600,151.438402
-53.513904,1600,160.153923
-70.970603,1600,168.710107
-122.766153,70,169.08534
-67.975574,1600,177.765259
-61.996798,1600,186.249746
-106.177943,66,186.620054
-101.114489,1600,195.18801
-85.37011,1600,204.031546
-64.284385,1600,212.714814
-63.773167,1600,221.412148
-41.322673,1600,230.314295
-31.748087,1600,239.188458
-28.808674,1600,247.867184
-119.705223,1335,254.97845
-51.658137,1600,263.56244
-39.704715,1600,272.11482
-40.217268,1600,280.67991
-38.022156,1600,289.326811
-103.823928,523,292.161669
-41.29732,1600,300.991062
-41.291899,1600,309.819358
-49.868501,1600,318.548318
-47.293184,1600,327.264074
-53.034096,1600,335.759619
-48.053686,1600,344.338512
-130.944872,139,345.067538
-125.857074,96,345.569609
-47.173482,1600,354.146578
-124.356389,88,354.611188
-132.74897,144,355.406873
-43.588281,1600,364.085348
-42.345874,1600,372.664034
-53.563453,1600,381.301098
-43.37586,1600,390.151971
-46.11275,1600,398.731959
-31.747738,1600,407.427824
-35.322534,1600,416.171266
-40.061899,1600,424.739702
-48.458026,1600,433.340306
-37.84093,1600,442.016649
-41.605064,1600,450.6311
-34.972952,1600,459.103286
-59.571852,1600,467.877317
-34.338674,1600,476.568115
-37.182356,1600,485.035481
-39.526169,1600,493.500521
-49.012253,1600,502.08051
-45.353871,1600,510.637821
-43.064298,1600,519.396717
-25.401661,1600,528.127112
-25.87542,1600,536.825041
-48.965125,1600,545.508224
-22.9285,1600,554.238103
-102.280038,743,558.200135
-90.603489,167,559.100475
-87.481001,586,562.26861
-88.41603,276,563.774799
-114.682583,980,569.131297
-112.477481,1153,575.345175
-80.518163,575,578.359467
-3.794643,1600,587.097715
6.054344,1600,595.649073
-23.514011,1600,604.312955
-35.76369,1600,612.942822
-29.709378,1600,621.609875
-30.336712,1600,630.387783
-20.544207,1600,639.183142
-32.352128,1600,647.878215
-26.90082,1600,656.555207
-54.242029,1138,662.720814
-8.403589,1600,671.525384
-49.666826,1600,680.407143
-29.061773,1600,689.134616
7.851325,1600,697.874118
26.342827,1600,706.482093
6.46893,1600,715.246784
-32.68841,1600,724.129607
21.880665,1600,733.079051
79.531855,1600,742.005674
4.328988,1146,748.13106
-5.899821,1001,753.684004
-11.151149,1174,760.121476
-12.368337,591,763.427212
100.429083,1600,772.139171
121.18765,1600,780.676981
-96.327157,314,782.37798
99.128903,1600,790.912371
-32.506769,1087,796.746994
194.314483,1600,805.370207
180.655423,1600,814.023915
199.115322,1600,822.585624
224.439575,1600,831.350664
251.894623,1600,840.042731
253.169814,1600,848.577212
264.822259,1600,857.184791
