#{"t_start": 1768746534.8382254, "env_id": "BipedalWalker-v3"}
r,l,t
-110.770827,82,0.061367
-95.464245,135,0.107635
-117.862413,39,0.408798
-123.239309,42,0.506411
-122.781683,43,0.610984
-143.231463,1600,1.255486
-166.352856,1600,5.209044
-113.803084,113,8.665026
-229.31781,1176,9.290608
-131.3728,117,11.846943
-133.990534,133,12.130254
-122.53949,75,12.445654
-129.935778,110,12.647382
-122.077419,45,12.900267
-131.072952,114,13.055156
-131.307438,116,13.343869
-122.396981,209,13.664674
-145.277971,239,14.195355
-131.472429,118,14.750435
-133.899103,134,15.050292
-125.140979,84,15.38739
-133.328537,132,15.614182
-123.114272,42,15.913401
-119.584008,44,16.019528
-132.068182,133,16.164839
-121.90821,199,16.515125
-126.742701,92,16.972548
-121.977019,42,17.187066
-123.316852,42,17.295193
-127.741103,99,17.425341
-132.317176,129,17.695754
-134.661123,158,18.028506
-129.840734,111,18.42044
-137.606372,171,18.729473
-126.635629,93,19.125949
-121.658783,187,19.386549
-147.508418,1600,20.370688
-142.33772,1600,24.386582
-139.376447,1600,28.240715
-131.303887,144,31.674269
-127.38916,1600,32.526131
-130.508141,1600,36.387515
-116.127253,39,39.780287
-116.727264,39,39.88314
-148.804257,1600,40.552784
-142.464427,1600,44.408334
-119.635798,191,47.910164
-144.581561,1600,48.869386
-139.100698,214,52.363643
-116.416123,67,52.847902
-113.74433,66,53.020603
-115.808051,63,53.192489
-116.185128,65,53.349827
-123.080298,53,53.524872
-119.075267,75,53.674251
-111.739551,66,53.866434
-112.884492,69,54.042048
-123.369407,53,54.213554
-123.872675,59,54.352878
-117.855152,41,54.498233
-123.157108,109,54.630877
-126.755554,153,54.924638
-118.20662,44,55.276694
-123.585691,105,55.411453
-131.31469,150,55.701764
-119.129938,106,56.083546
-124.825875,153,56.376012
-125.961314,106,56.732221
-129.038288,161,57.016072
-115.119395,42,57.360823
-137.369411,1600,58.003706
-120.468549,44,61.408062
-116.722557,39,61.517213
-117.629209,65,61.623989
-118.838073,43,61.777941
-122.393347,44,61.885837
-113.08962,57,62.001672
-122.276592,44,62.139554
-122.643912,43,62.249843
-122.594172,44,62.358397
-122.138758,44,62.484539
-122.337952,42,62.60563
-122.627747,42,62.710801
-221.700935,1033,63.166398
-117.061927,43,65.339322
-115.305856,38,65.44657
